ticket_id,arrival_ts,queue,priority,language,channel,customer_tier,is_vip,is_reopened,complexity,estimated_effort_min,first_response_sla_min,first_response_due_ts,resolution_sla_business_min,resolution_due_ts,required_skill_tags,ticket_subject
TKT-00001,2026-03-02 08:00:43,Integrations/API,P3,EN,portal,SMB,0,0,complex,72,240,2026-03-02 12:00:43,960,2026-03-04 08:01:00,integrations_api|api_specialist|integration_specialist,REST API pagination skips records after cursor handoff
TKT-00002,2026-03-02 08:05:44,Account Access,P2,EN,portal,SMB,0,0,standard,25,60,2026-03-02 09:05:44,480,2026-03-03 08:06:00,account_access,Account locked after repeated login attempts
TKT-00003,2026-03-02 08:13:43,Account Access,P2,EN,email,Enterprise,0,0,simple,12,60,2026-03-02 09:13:43,480,2026-03-03 08:14:00,account_access|enterprise_handling,Session expires immediately after successful login
TKT-00004,2026-03-02 08:20:05,Product Support,P3,EN,portal,Mid-Market,0,0,simple,22,240,2026-03-02 12:20:05,960,2026-03-04 08:21:00,product_support,Search results differ between UI and exported report
TKT-00005,2026-03-02 08:23:45,Product Support,P3,DE,portal,SMB,0,0,complex,77,240,2026-03-02 12:23:45,960,2026-03-04 08:24:00,product_support|de_language|product_specialist,Attachment preview fails for PDF uploaded from mobile app
TKT-00006,2026-03-02 08:26:51,Integrations/API,P2,EN,portal,SMB,0,0,standard,47,60,2026-03-02 09:26:51,480,2026-03-03 08:27:00,integrations_api|api_specialist,Webhook signature validation differs from documentation example
TKT-00007,2026-03-02 08:30:28,Product Support,P3,EN,email,SMB,0,0,simple,22,240,2026-03-02 12:30:28,960,2026-03-04 08:31:00,product_support,Notification rule sent duplicate emails to requester
TKT-00008,2026-03-02 08:34:42,Integrations/API,P3,DE,portal,Enterprise,0,1,complex,91,240,2026-03-02 12:34:42,960,2026-03-04 08:35:00,integrations_api|de_language|enterprise_handling|api_specialist|integration_specialist,SCIM deprovisioning request returns 403 for service account
TKT-00009,2026-03-02 08:37:57,Product Support,P2,EN,email,Enterprise,0,0,complex,92,60,2026-03-02 09:37:57,480,2026-03-03 08:38:00,product_support|enterprise_handling|product_specialist,Bulk update operation stalled for large ticket batch
TKT-00010,2026-03-02 08:38:01,Product Support,P4,EN,portal,SMB,0,0,simple,11,480,2026-03-03 08:39:00,2400,2026-03-09 08:39:00,product_support,Exported CSV misses custom fields in final report
TKT-00011,2026-03-02 08:38:51,Product Support,P4,EN,portal,SMB,0,0,standard,42,480,2026-03-03 08:39:00,2400,2026-03-09 08:39:00,product_support,Exported CSV misses custom fields in final report
TKT-00012,2026-03-02 08:43:32,Billing,P4,DE,portal,Enterprise,0,0,standard,34,480,2026-03-03 08:44:00,2400,2026-03-09 08:44:00,billing|de_language|enterprise_handling,Purchase order reference missing from latest invoice
TKT-00013,2026-03-02 08:46:34,Integrations/API,P3,EN,portal,Mid-Market,0,0,standard,47,240,2026-03-02 12:46:34,960,2026-03-04 08:47:00,integrations_api|api_specialist,SCIM deprovisioning request returns 403 for service account
TKT-00014,2026-03-02 08:50:55,Billing,P3,EN,email,SMB,0,0,standard,30,240,2026-03-02 12:50:55,960,2026-03-04 08:51:00,billing,Subscription cancellation not reflected in billing portal
TKT-00015,2026-03-02 08:56:12,Integrations/API,P3,EN,portal,SMB,0,0,complex,110,240,2026-03-02 12:56:12,960,2026-03-04 08:57:00,integrations_api|api_specialist|integration_specialist,API rate limit reached earlier than documented threshold
TKT-00016,2026-03-02 08:57:28,Product Support,P4,EN,portal,Mid-Market,0,0,standard,41,480,2026-03-03 08:58:00,2400,2026-03-09 08:58:00,product_support,Attachment preview fails for PDF uploaded from mobile app
TKT-00017,2026-03-02 09:04:07,Account Access,P2,EN,email,Enterprise,1,0,standard,28,60,2026-03-02 10:04:07,480,2026-03-03 09:05:00,account_access|enterprise_handling,MFA challenge not accepted for admin account
TKT-00018,2026-03-02 09:05:07,Integrations/API,P3,DE,email,SMB,0,0,complex,115,240,2026-03-02 13:05:07,960,2026-03-04 09:06:00,integrations_api|de_language|api_specialist|integration_specialist,CRM integration stopped syncing ticket comments overnight
TKT-00019,2026-03-02 09:06:42,Account Access,P3,EN,email,Enterprise,0,0,simple,6,240,2026-03-02 13:06:42,960,2026-03-04 09:07:00,account_access|enterprise_handling,Account locked after repeated login attempts
TKT-00020,2026-03-02 09:07:48,Account Access,P3,EN,portal,SMB,0,1,standard,22,240,2026-03-02 13:07:48,960,2026-03-04 09:08:00,account_access,SCIM-provisioned user missing expected product access
TKT-00021,2026-03-02 09:11:26,Product Support,P3,EN,portal,SMB,0,0,standard,40,240,2026-03-02 13:11:26,960,2026-03-04 09:12:00,product_support,Kanban board shows outdated ticket counts after refresh
TKT-00022,2026-03-02 09:13:02,Account Access,P4,EN,portal,SMB,0,1,complex,69,480,2026-03-03 09:14:00,2400,2026-03-09 09:14:00,account_access,SSO login loops back to sign-in page
TKT-00023,2026-03-02 09:20:06,Account Access,P4,DE,chat,SMB,0,0,simple,9,480,2026-03-03 09:21:00,2400,2026-03-09 09:21:00,account_access|de_language,Role change not reflected after access approval
TKT-00024,2026-03-02 09:21:21,Integrations/API,P2,DE,portal,SMB,0,0,complex,64,60,2026-03-02 10:21:21,480,2026-03-03 09:22:00,integrations_api|de_language|api_specialist|integration_specialist,REST API pagination skips records after cursor handoff
TKT-00025,2026-03-02 09:26:09,Billing,P3,EN,email,Mid-Market,0,1,standard,27,240,2026-03-02 13:26:09,960,2026-03-04 09:27:00,billing,Subscription cancellation not reflected in billing portal
